,eplenmean,eprew,fps,total_timesteps,policy_loss,value_loss,policy_entropy,approxkl,clipfrac,l2_loss,train_score
127,107.35,5.9,1592,1048576.0,-0.009416771,0.6995666,1.5853529,0.007816474,0.117757164,562.47375,5.9
128,116.18,5.2,1572,1056768.0,-0.010679487,0.76213175,1.547522,0.0068185087,0.096069336,563.77216,5.2
129,76.14,6.0,1594,1064960.0,-0.011758085,0.9662395,1.5029527,0.0088458685,0.1352539,565.17523,6.0
130,64.76,6.2,1562,1073152.0,-0.009430147,1.1031382,1.44558,0.0086403275,0.13802083,566.4726,6.2
131,59.01,8.1,1620,1081344.0,-0.00859415,0.96419936,1.4352261,0.007569334,0.11112467,567.61914,8.1
132,76.39,6.8,1577,1089536.0,-0.008663307,1.0006334,1.4752741,0.006435377,0.09248861,568.6776,6.8
133,85.79,4.8,1566,1097728.0,-0.011844479,0.89611906,1.523781,0.007044882,0.10514323,569.6408,4.8
134,156.2,5.9,1576,1105920.0,-0.011412964,0.72755337,1.5363237,0.007886773,0.1200765,570.7905,5.9
135,73.03,5.9,1544,1114112.0,-0.009328935,0.77749276,1.4988565,0.00842757,0.12935384,571.93207,5.9
136,128.54,5.3,1571,1122304.0,-0.01020415,1.0188138,1.4486156,0.007140847,0.10709635,572.88385,5.3
137,71.69,6.5,1536,1130496.0,-0.011288528,0.89390993,1.4561473,0.008233052,0.12524414,573.8949,6.5
138,131.98,5.7,1567,1138688.0,-0.009539351,0.88053447,1.5319785,0.0062719,0.09399414,574.92084,5.7
139,84.29,5.7,1580,1146880.0,-0.010426726,1.1283752,1.4589249,0.0076815025,0.11608887,575.93304,5.7
140,75.28,4.5,1616,1155072.0,-0.009726691,0.8101606,1.5112066,0.007916916,0.12121582,577.2305,4.5
141,101.01,5.5,1575,1163264.0,-0.010269926,0.91467905,1.5098616,0.007458365,0.11315918,578.54486,5.5
142,71.54,5.7,1550,1171456.0,-0.0094212,0.76189995,1.5232029,0.0069737122,0.103271484,579.7101,5.7
143,125.3,5.3,1592,1179648.0,-0.010521079,0.8299597,1.5150114,0.007825476,0.118774414,580.86816,5.3
144,109.58,5.0,1533,1187840.0,-0.010434403,0.69500524,1.5578364,0.0073915087,0.1138916,581.8908,5.0
145,87.38,4.8,1544,1196032.0,-0.012150723,0.7887408,1.5454612,0.00875133,0.13557942,582.9992,4.8
146,103.28,6.0,1601,1204224.0,-0.011726963,0.4776924,1.599442,0.008826786,0.13004558,584.3886,6.0
147,114.35,4.5,1579,1212416.0,-0.009652233,0.6665916,1.613228,0.008839182,0.13724773,585.7259,4.5
148,82.14,6.7,1577,1220608.0,-0.012581137,0.49559823,1.5922195,0.0074982233,0.106770836,587.0576,6.7
149,141.08,6.6,1575,1228800.0,-0.0109149255,0.5149239,1.6489153,0.008337752,0.12613933,588.3598,6.6
150,132.59,6.5,1601,1236992.0,-0.011367638,0.7151963,1.6024795,0.0074096476,0.11035156,589.5663,6.5
151,153.78,5.4,1579,1245184.0,-0.010700828,0.5789022,1.6474814,0.008804219,0.1287028,591.0244,5.4
152,160.56,6.0,1575,1253376.0,-0.010786057,0.32246047,1.7500602,0.0079668695,0.11999512,592.4627,6.0
153,140.79,4.2,1606,1261568.0,-0.009817825,0.43748486,1.6727821,0.008303593,0.11995443,593.848,4.2
154,140.59,5.3,1539,1269760.0,-0.012551718,0.48166072,1.6838027,0.007190142,0.08931478,595.0905,5.3
155,125.14,5.3,1603,1277952.0,-0.013237798,0.60252565,1.6225114,0.009016956,0.13138835,596.43506,5.3
156,101.44,4.0,1606,1286144.0,-0.009875013,0.72593325,1.6590552,0.0071726404,0.10282389,598.03754,4.0
157,139.64,4.0,1597,1294336.0,-0.013163235,0.62335086,1.6530021,0.007492239,0.11250814,599.4928,4.0
158,108.92,6.6,1574,1302528.0,-0.009389167,0.6954079,1.6009468,0.0064163865,0.0920817,600.8681,6.6
